Source (A),Source (B),Source (C),Source (D),Source (E),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
10113143,4,9,"No, people should not be allowed to cut down trees because it can kill some animals in the rainforest. Also because all animals can be extinct. Also because animals can lose their habitat. Also because they will be not a lot of trees left. That is why I do not think people should not be allowed to cut down trees in the rainforest.",1,63,13.32,17.04,13.15,1.00,12.60,20.63,84.13,63.49,7.94,4.76,1.59,0.00,0.00,0.00,3.17,3.17,4.76,11.11,19.05,6.35,11.11,7.94,19.05,0.00,0.00,1.59,0.00,4.76,6.35,0.00,6.35,0.00,1.59,1.59,6.35,0.00,0.00,0.00,0.00,26.98,1.59,11.11,3.17,3.17,1.59,6.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.94,0.00,1.59,6.35,0.00,1.59,1.59,17.46,1.59,7.94,0.00,7.94,0.00,0.00,0.00,0.00,0.00,0.00,1.59,0.00,0.00,0.00,0.00,0.00,0.00,9.52,7.94,1.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10113147,3,7,"No, I do not think that people should cut down trees in the rainforest because people still want to explore the rainforest. And also beautiful animals that people take pictures of are becoming extinct.",1,34,42.68,38.42,47.25,25.77,17.00,26.47,85.29,55.88,8.82,2.94,2.94,0.00,0.00,0.00,0.00,5.88,5.88,11.76,11.76,5.88,8.82,5.88,20.59,2.94,0.00,0.00,0.00,0.00,5.88,2.94,2.94,0.00,0.00,0.00,8.82,0.00,0.00,0.00,0.00,20.59,8.82,2.94,5.88,0.00,0.00,2.94,5.88,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,2.94,2.94,0.00,0.00,14.71,0.00,11.76,2.94,5.88,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.82,5.88,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10113151,3,7,My opinion is no because it can destroy homes of animals. My second reason is it can kill animals' habitat in the trees. There will not be some fruit they need. That is why they should not cut trees.,1,39,3.62,10.00,3.70,1.00,9.75,15.38,87.18,61.54,17.95,10.26,5.13,0.00,0.00,0.00,5.13,7.69,2.56,5.13,20.51,5.13,2.56,7.69,17.95,0.00,0.00,2.56,2.56,2.56,7.69,0.00,7.69,0.00,5.13,0.00,5.13,0.00,0.00,0.00,0.00,23.08,2.56,7.69,5.13,5.13,0.00,5.13,2.56,0.00,0.00,0.00,2.56,0.00,0.00,0.00,2.56,2.56,0.00,0.00,2.56,0.00,0.00,0.00,17.95,2.56,2.56,0.00,2.56,0.00,0.00,0.00,2.56,0.00,0.00,2.56,0.00,0.00,0.00,0.00,0.00,0.00,12.82,10.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.56,0.00,0.00
10113159,1,0,Says your opinion they no XXX XXX XXX XXX.,1,9,18.82,99.00,1.00,25.77,9.00,11.11,55.56,33.33,22.22,22.22,0.00,0.00,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,11.11,0.00,0.00,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10113173,2,4,"No, I think they should not because there’s monkeys and parrots that live there. That’s why I think they should not be able to cut down trees in the rainforest",1,30,1.92,4.80,43.37,1.03,15.00,13.33,90.00,70.00,20.00,13.33,6.67,0.00,0.00,0.00,6.67,6.67,3.33,10.00,16.67,10.00,6.67,10.00,26.67,0.00,0.00,3.33,0.00,0.00,3.33,0.00,3.33,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,26.67,6.67,6.67,6.67,0.00,0.00,6.67,0.00,0.00,0.00,0.00,3.33,0.00,3.33,0.00,0.00,6.67,0.00,3.33,3.33,0.00,0.00,0.00,20.00,0.00,6.67,0.00,6.67,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,3.33,3.33,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00
10113175,3,7,I think they should not be allowed to cut down tree because spider monkey and other animals and plants need the rainforest. And there are many other places to cut down tree. And that is how I want this to be XXX. And that why I don’t want anybody cutting down any rainforest tree. I like it that way.,1,59,7.94,11.78,16.91,6.73,11.80,11.86,83.05,61.02,22.03,8.47,6.78,0.00,0.00,0.00,1.69,13.56,1.69,10.17,10.17,5.08,11.86,3.39,18.64,0.00,0.00,3.39,0.00,3.39,5.08,1.69,3.39,0.00,0.00,0.00,3.39,0.00,0.00,0.00,0.00,23.73,1.69,6.78,6.78,3.39,0.00,5.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.78,0.00,0.00,6.78,0.00,0.00,0.00,15.25,0.00,8.47,0.00,8.47,0.00,0.00,0.00,0.00,0.00,1.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.17,8.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.69,0.00,0.00
10113180,2,4,They should not the spider monkey will be extinct. Also their habitat will be extinct there people get water there kids play in the rain.,1,25,14.11,78.82,1.00,91.14,12.50,12.00,80.00,56.00,8.00,8.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,4.00,20.00,12.00,4.00,4.00,24.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,4.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,4.00,0.00,0.00,12.00,8.00,4.00,0.00,4.00,0.00,0.00,4.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10113187,2,4,The people should not cut down the trees because the animals need home to live. If they cut down the trees then the animal will not have a home. All of the animals will not have a home.,1,38,93.26,9.43,4.05,1.00,12.67,7.89,86.84,63.16,2.63,2.63,0.00,0.00,0.00,0.00,2.63,0.00,21.05,10.53,13.16,0.00,7.89,7.89,18.42,0.00,0.00,0.00,0.00,2.63,5.26,0.00,5.26,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,21.05,0.00,2.63,7.89,2.63,2.63,10.53,0.00,0.00,0.00,0.00,2.63,0.00,2.63,0.00,0.00,5.26,0.00,0.00,5.26,0.00,0.00,0.00,10.53,7.89,7.89,0.00,5.26,2.63,0.00,0.00,7.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.89,7.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10113215,2,4,"If they cut down trees, animals will be extinct. If there would be no more trees for animals to live in for animals that live in trees and they will be extinct and the animals have to survive and trees also the rainforest to survive. Also other animals species need to survive.",1,52,49.42,35.01,1.00,5.37,17.33,23.08,75.00,59.62,7.69,3.85,0.00,0.00,0.00,0.00,3.85,3.85,3.85,17.31,13.46,5.77,13.46,1.92,19.23,1.92,1.92,0.00,0.00,1.92,1.92,0.00,1.92,0.00,0.00,0.00,3.85,0.00,0.00,0.00,0.00,9.62,0.00,0.00,7.69,3.85,0.00,5.77,0.00,0.00,0.00,0.00,3.85,0.00,3.85,0.00,0.00,7.69,0.00,5.77,1.92,0.00,0.00,0.00,13.46,3.85,5.77,0.00,5.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,5.77,1.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10113220,2,4,I think people should not be allowed to cut down trees in the rainforest because it destroys animals' homes and it actually doesn’t help provide things and that’s why people shouldn’t be allowed to cut down trees in the rainforest.,1,40,32.01,30.86,15.86,1.00,40.00,25.00,87.50,60.00,12.50,2.50,2.50,0.00,0.00,0.00,0.00,10.00,5.00,15.00,15.00,5.00,7.50,7.50,17.50,0.00,0.00,2.50,0.00,0.00,7.50,0.00,7.50,0.00,2.50,0.00,10.00,0.00,0.00,0.00,0.00,22.50,2.50,10.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,2.50,0.00,15.00,0.00,0.00,0.00,15.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00
10113226,2,4,No they can’t cut down trees because some animal sleep in trees like bears and snakes lizard and sometimes monkey and sometimes bats.,1,23,60.05,19.23,54.89,1.00,23.00,13.04,69.57,43.48,4.35,4.35,0.00,0.00,0.00,0.00,4.35,0.00,0.00,13.04,0.00,0.00,17.39,8.70,0.00,0.00,4.35,0.00,0.00,4.35,4.35,0.00,4.35,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,21.74,0.00,4.35,0.00,13.04,0.00,4.35,0.00,0.00,0.00,0.00,4.35,4.35,0.00,0.00,0.00,4.35,0.00,0.00,4.35,0.00,0.00,0.00,4.35,0.00,17.39,0.00,8.70,8.70,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00
10113229,3,7,I think they should not be allowed to cut down trees in the rainforest because a lot of animals will die. Like there used to be thousands of spider monkeys of spider monkeys but now there are hundreds. Plants will start dying.,1,42,79.28,23.75,23.51,3.31,14.00,19.05,85.71,57.14,4.76,4.76,2.38,0.00,0.00,0.00,2.38,0.00,4.76,19.05,14.29,7.14,4.76,2.38,23.81,0.00,2.38,0.00,4.76,2.38,2.38,0.00,2.38,0.00,0.00,0.00,2.38,0.00,0.00,0.00,0.00,19.05,2.38,7.14,2.38,2.38,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00,4.76,0.00,0.00,2.38,16.67,4.76,9.52,0.00,4.76,4.76,0.00,0.00,0.00,0.00,4.76,4.76,0.00,0.00,0.00,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10113242,3,6,People should not cut the rainforest because the spider monkey would die and he would not have a home.,1,19,22.39,14.62,1.00,1.00,19.00,10.53,89.47,63.16,5.26,5.26,0.00,0.00,0.00,5.26,0.00,0.00,15.79,0.00,21.05,0.00,10.53,10.53,26.32,0.00,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,0.00,10.53,0.00,0.00,0.00,5.26,31.58,0.00,5.26,15.79,0.00,0.00,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10113244,2,5,They should not cut down trees because the animals will get endangered and extinct. The animals cannot help nature to grow nice and tall. That is why we need tree and animals to survive and grow and be happy for all of us and we can grow strong just like the animals.,1,52,38.60,77.92,2.90,89.84,17.33,15.38,82.69,57.69,9.62,7.69,0.00,5.77,0.00,0.00,1.92,1.92,5.77,11.54,11.54,3.85,13.46,3.85,19.23,7.69,1.92,1.92,0.00,1.92,7.69,5.77,1.92,0.00,0.00,0.00,9.62,0.00,0.00,0.00,0.00,13.46,0.00,3.85,3.85,0.00,1.92,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,7.69,1.92,5.77,1.92,0.00,0.00,17.31,1.92,9.62,5.77,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.77,5.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10113248,1,0,They should not cut down the trees because when you cut the trees the would be stuck forever. They will make their house. When animals push the trees they are save. They go their home sleep. When is again they will push hard and save when in night when people tip toe walking slow they will cut tree animals near.,1,60,8.69,93.30,82.75,6.91,12.00,8.33,88.33,55.00,15.00,15.00,0.00,0.00,1.67,0.00,13.33,0.00,6.67,5.00,13.33,10.00,11.67,1.67,26.67,3.33,0.00,8.33,0.00,0.00,8.33,3.33,5.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,10.00,0.00,3.33,3.33,0.00,1.67,1.67,1.67,0.00,0.00,1.67,3.33,3.33,0.00,0.00,0.00,1.67,0.00,0.00,1.67,0.00,0.00,1.67,11.67,5.00,28.33,8.33,6.67,15.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10114102,4,11,I think that people should not cut down trees in the rainforest. Animals are dying because we are cutting trees so we need to stop to conserve the animals in the rainforest. Plants are their food so we need to conserve the plants. Some rainforest animals are becoming very rare because the rainforest belongs to unique plants and animals that live here. We should conserve the trees in the rainforest instead of cutting them down.,1,75,70.69,82.47,2.63,9.41,15.00,25.33,73.33,56.00,12.00,9.33,1.33,5.33,0.00,0.00,2.67,2.67,9.33,13.33,9.33,6.67,6.67,1.33,14.67,2.67,1.33,0.00,0.00,1.33,1.33,0.00,1.33,0.00,0.00,0.00,9.33,0.00,0.00,0.00,0.00,14.67,2.67,2.67,5.33,1.33,0.00,2.67,0.00,0.00,0.00,0.00,2.67,0.00,1.33,0.00,1.33,10.67,6.67,0.00,2.67,0.00,1.33,0.00,10.67,0.00,8.00,0.00,6.67,1.33,0.00,0.00,0.00,0.00,0.00,1.33,0.00,0.00,0.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10114113,1,1,I think people should cut down the trees in the rainforest. I am explaining about the rainforest. I think that people should cut down the trees in the trees is so important. 1: My reason is you should not cut down trees.,1,42,74.10,40.60,80.64,1.00,10.50,9.52,83.33,59.52,14.29,11.90,9.52,0.00,2.38,0.00,0.00,2.38,11.90,14.29,14.29,4.76,2.38,2.38,21.43,0.00,0.00,0.00,2.38,0.00,9.52,2.38,7.14,0.00,0.00,0.00,9.52,0.00,0.00,0.00,0.00,19.05,9.52,2.38,7.14,0.00,0.00,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,0.00,0.00,9.52,0.00,0.00,0.00,11.90,0.00,11.90,0.00,11.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.90,9.52,0.00,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10114121,3,8,In my opinion people should not cut down trees. Because it grows fruit on trees. For us to survive for us to be healthy and we need trees to breathe. And other living creatures need it to some other living creatures live in these also trees are important! Trees are also very pretty and decorations to homes! Many different kind of trees help us out. They are a part of our life! For us to live so we and other living things can be healthy because of trees! Like spider monkeys.,1,90,49.54,86.68,2.21,84.54,10.00,15.56,87.78,57.78,17.78,10.00,1.11,7.78,0.00,0.00,1.11,7.78,1.11,18.89,7.78,4.44,10.00,1.11,14.44,3.33,2.22,0.00,0.00,3.33,5.56,4.44,1.11,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,15.56,0.00,2.22,3.33,4.44,0.00,5.56,1.11,0.00,0.00,0.00,8.89,1.11,6.67,0.00,1.11,12.22,8.89,1.11,3.33,0.00,0.00,0.00,11.11,0.00,5.56,0.00,5.56,0.00,0.00,1.11,1.11,0.00,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,5.56,0.00,0.00,0.00,0.00,4.44,0.00,0.00,0.00,0.00,0.00
10114132,4,10,"I think people should not cut down the trees in the rainforest. We need the rainforest. The rainforest is are natural resources. The rainforest is a home to unique plants and animals that don’t live anywhere else. If they cut down all the trees you won’t have any oxygen. I think they should not cut down all trees in the rainforest.  ",1,61,71.22,31.15,22.13,1.00,10.17,14.75,81.97,55.74,11.48,9.84,3.28,1.64,1.64,0.00,3.28,1.64,13.11,9.84,13.11,1.64,3.28,6.56,19.67,3.28,1.64,0.00,0.00,4.92,4.92,0.00,4.92,0.00,0.00,0.00,8.20,0.00,0.00,0.00,0.00,21.31,3.28,0.00,6.56,4.92,3.28,6.56,0.00,0.00,0.00,0.00,1.64,0.00,1.64,0.00,0.00,6.56,1.64,0.00,4.92,0.00,0.00,0.00,14.75,1.64,9.84,0.00,9.84,0.00,1.64,0.00,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.11,9.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.28,0.00,0.00
10114140,2,4,"1 Rainforests or one of 2 the Earth’s most valuable 3 resources and some animals 4 and flower, fruit. Plant can 5 die and animals can be 6 extinct and that will",1,32,38.60,37.72,1.00,81.93,16.00,18.75,59.38,37.50,3.12,0.00,0.00,0.00,0.00,0.00,0.00,3.12,3.12,3.12,12.50,0.00,15.62,0.00,9.38,3.12,3.12,0.00,21.88,6.25,3.12,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.38,0.00,0.00,0.00,9.38,0.00,3.12,3.12,0.00,0.00,0.00,3.12,0.00,0.00,0.00,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,3.12,0.00,0.00,0.00,0.00,3.12,0.00,0.00,0.00,0.00,3.12,0.00,0.00,0.00,0.00,0.00,0.00,9.38,3.12,3.12,0.00,0.00,0.00,0.00,0.00,0.00,3.12,0.00,0.00
