"s_id","grade","subject","more","text","text.sc"
12738602,"2","science",1,"No. I don't think an asteroid came because it had no hot and cold and it did not change the Earth and no dust clouds and sun heat and light for month and even year and no air came cold and no plants would not stop growing and no waterrain came and so herbivores.","no. i don't think an asteroid came because it had no hot and cold and it did not change the earth and no dust clouds and sun heat and light for month and even year and no air came cold and no plants would not stop growing and no waterrain came and so herbivores."
12738602,"2","social",1,"I will celebrate Henry Ford because he made a watches and wind-up toy and liked mechanical and went to a room of schoolhouse and can do math problem in the head and Henry Ford was seven worked on teh family tools bits of the metal he found around the house and explored the inside of any watch he could find.","i will celebrate henry ford because he made a watches and wind-up toy and liked mechanical and went to a room of schoolhouse and can do math problem in the head and henry ford was seven worked on teh family tools bits of the metal he found around the house and explored the inside of any watch he could find."
1121469981,"2","science",0,"Yes because when the asteroid struck the earth came. The dinosaurs did not have something to drink or eat any birds, snakes, lizards, frogs and turtles survive but no dinosaur know dinosaurs do not exist.","yes because when the asteroid struck the earth came. the dinosaurs did not have something to drink or eat any birds, snakes, lizards, frogs and turtles survive but no dinosaur know dinosaurs do not exist."
1121469981,"2","social",0,"I will choose Leonardo da Vinci because I don't like touching greasy stuff like Henry does. And I like birds because they look cute and because they are sweet and they don't do anything but fly.","i will choose leonardo davinci because i don't like touching greasy stuff like henry does. and i like birds because they look cute and because they are sweet and they don't do anything but fly."
1124149112,"2","science",0,"Yes because asteroids fall when after asteroid hit the asteroid. Then it gets out of the pit.","yes because asteroids fall when after asteroid hit the asteroid. then it gets out of the pit."
1124149112,"2","social",0,"Henry Ford because Henry did jacks, opened every watch he could find.","henry ford because henry did jacks, opened every watch he could find."
1126743399,"2","science",0,"I agree a asteroid struck Earth because asteroid for a lot.","i agree a asteroid struck earth because asteroid for a lot."
1129429644,"2","science",1,"I think that dinosaurs died because the other animals did not die maybe the other animals were in other places and the dinosaurs were in another so then the thing that happened were the dinosaurs were so XXX when the other animals probably did not die because the animals were some whereelse turn the dinosaurs but the bird flys so maybe the birds saw the thing that was happening so they fly away.","i think that dinosaurs died because the other animals did not die maybe the other animals were in other places and the dinosaurs were in another so then the thing that happened were the dinosaurs were so xxx when the other animals probably did not die because the animals were some whereelse turn the dinosaurs but the bird fly so maybe the birds saw the thing that was happening so they fly away."
1129429644,"2","social",1,"Henry Ford because Henry was good coming up with thinking about math and that's good so he would do good with his test ad stuff and Henry studyed mechical things and he came to school every and when Henry was 7 he works with his family on a farm and Henry learned everything about watches and named his own tools out of metal that's why.","henry ford because henry was good coming up with thinking about math and that's good so he would do good with his test ad stuff and henry studyed mechical things and he came to school every and when henry was 7 he works with his family on a farm and henry learned everything about watches and named his own tools out of metal that's why."
1132935121,"1","science",0,"No because it is not the right thing to do.","no because it is not the right thing to do."
1132935121,"1","social",0,"Earhart div royex she was oon for ever","earhart div royex she was oon for ever"
1135179638,"2","science",0,"No. Because the asteroid did not destroy Earth because then our Earth would be destroyed and the asteroid came from a volcano. It flood out too.","no. because the asteroid did not destroy earth because then our earth would be destroyed and the asteroid came from a volcano. it flood out too."
1135527881,"2","science",0,"I think dinosaurs died because an asteroid I choose that because an asteroid can kill you.","i think dinosaurs died because an asteroid i choose that because an asteroid can kill you."
1135527881,"2","social",0,"I would celebrate Leonardo da Vinci because he made airplanes so you can fly to see your family that lives somewhere else in conclusion I chose Leonardo da Vinci.","i would celebrate leonardo davinci because he made airplanes so you can fly to see your family that lives somewhere else in conclusion i chose leonardo da vinci."
1136298118,"2","science",0,"I agree because I think that they dinosaurs died.","i agree because i think that they dinosaurs died."
1136298118,"2","social",0,"My opinion is that Leonardo da Vinci to celebrate him because he said that he going to make a machine that can fly.","my opinion is that leonardo davinci to celebrate him because he said that he going to make a machine that can fly."
1138123692,"2","science",0,"The dinosaurs died after the asteroid hit the earth I disagree.","the dinosaurs died after the asteroid hit the earth i disagree."
1139549545,"1","science",0,"No because we need trees indoor to survive. We need air. When we breathe air in a new air comes from the trees. No because iit is also a habitat. So that what it means. I hope you agree with me.","no because we need trees indoor to survive. we need air. when we breathe air in a new air comes from the trees. no because iit is also a habitat. so that what it means. i hope you agree with me."
1139549545,"1","social",0,"I'll pick Sally Ride. She is the best flyer in the world. I hope you agree with me.","i'll pick sally ride. she is the best flier in the world. i hope you agree with me."
1139665642,"2","social",0,"I would pick Da Vinci. Because I think it will be a good celebrated god one and why because it's a good name of for Vinci Leonardo and Henry. That's why I pick Da Vinci. Because it's the recentangler word above the words what I's writing about the words again what I'm writing with with the words that say...it has your opinion that's above my words.","i would pick da vinci. because i think it will be a good celebrated god one and why because it's a good name of for vinci leonardo and henry. that's why i pick da vinci. because it's the recentangler word above the words what i's writing about the words again what i'm writing with with the words that say...it has your opinion that's above my words."
1143431375,"1","science",0,"No trees should not be cut down because they will die.","no trees should not be cut down because they will die."
1143431375,"1","social",0,"I choose to celebrate Amelia Earhart because she is a Jetin.","i choose to celebrate amelia earhart because she is a jetin."
1147563772,"2","science",0,"I bet the dinosaurs die because they are extinct people from other animals.","i bet the dinosaurs die because they are extinct people from other animals."
1149745932,"2","science",0,"I think the dinosaurs died because the dinosaurs were too old so they past like people. But then it's still more dinosarus and dinosaurs are still cool with a ""and dinosaurs are still cool because they got all sick of dinosaurs moves and that's how dinosarus are still cool"" and again with a ""and it's cool that the dinosaurs died when a asteroid struck on Earth"" and still think the dinosaurs past becase they were old and. But I haven't seen a dinosaur move. I beett now they came at and I think dinosaurs past because my dog past.","i think the dinosaurs died because the dinosaurs were too old so they past like people. but then it's still more dinosaurs and dinosaurs are still cool with a ""and dinosaurs are still cool because they got all sick of dinosaurs moves and that's how dinosaurs are still cool"" and again with a ""and it's cool that the dinosaurs died when a asteroid struck on earth"" and still think the dinosaurs past because they were old and. but i haven't seen a dinosaur move. i beett now they came at and i think dinosaurs past because my dog past."
1149745932,"2","social",0,"I think I would pick Leonardo da Vinci instead of Henry because I always dreamed of flying and if people could fly it will be so cool and some time when I go outside I will see people flying across the sky and it will be cool and with a cool and it will cost money so a lot of people would have job but I wouldn't have a job into I am I would just ask my mom I can't believe that Leonardo da Vinci lived for 500 years. That is so scool but thye would be running at.","i think i would pick leonardo davinci instead of henry because i always dreamed of flying and if people could fly it will be so cool and some time when i go outside i will see people flying across the sky and it will be cool and with a cool and it will cost money so a lot of people would have job but i wouldn't have a job into i am i would just ask my mom i can't believe that leonardo davinci lived for 500 years. that is so scool but they would be running at."
1149946873,"2","science",1,"I think the asteroid did not kill the dinoasurs because the frogs did not die and the snake did not die or else everything XXX be XXX","i think the asteroid did not kill the dinosaurs because the frogs did not die and the snake did not die or else everything xxx be xxx"
1149946873,"2","social",1,"I think we should choose Henry Ford should get selected because of he, now watch works. He loved to explain he loved riping watches and putting it XXX. He loves mechanicla stuff and he learned everything he could know about watches.","i think we should choose henry ford should get selected because of he, now watch works. he loved to explain he loved riping watches and putting it xxx. he loves mechanicla stuff and he learned everything he could know about watches."
1153564297,"1","science",0,"Dinosaur cut down tree is they need a place to live that is why dinosaur cut down tree to make a house.","dinosaur cut down tree is they need a place to live that is why dinosaur cut down tree to make a house."
1153564297,"1","social",0,"I choose Sally Ride because space is cooler than flying a plane that is why I pick Sally Ride that is why I choose Sally Ride.","i choose sally ride because space is cooler than flying a plane that is why i pick sally ride that is why i choose sally ride."
1154765369,"1","science",0,"No you should not cut down trees in the rainforest because half of the rainforest is gone. I hope that you know how not to cut down trees in the rainforest. We breathe with trees.","no you should not cut down trees in the rainforest because half of the rainforest is gone. i hope that you know how not to cut down trees in the rainforest. we breathe with trees."
1154765369,"1","social",0,"Amelia Earhart because she became the first woman to fly a plane over the Atlantic Ocean. Now I hope you know to celebrate Amelia Earhart.","amelia earhart because she became the first woman to fly a plane over the Atlantic ocean. now i hope you know to celebrate amelia earhart."
1155237323,"2","science",1,"I think an asteroid hit the earth to kill the dinosaurs because if it hit the earth then it hit the ground and made the ground break. The ground whhere the dinosaurs were standing. Plus an asteroid is a big rock that can kill us and if it hits you we could die. and ut is very XXX. And found the bones from a dinosaur in the dirt.","i think an asteroid hit the earth to kill the dinosaurs because if it hit the earth then it hit the ground and made the ground break. the ground whhere the dinosaurs were standing. plus an asteroid is a big rock that can kill us and if it hits you we could die. and ut is very xxx. and found the bones from a dinosaur in the dirt."
1156956323,"1","social",1,"I picked Amelia Earhart because she ride a plane without the stuff that we have now.","i picked amelia earhart because she ride a plane without the stuff that we have now."
1157893961,"2","science",1,"I think that dinosaurs didn't die from an asteroid because there is no proof that dinosaurs have died because of a asteroid. I think dinosaurs died because earth's climate changed and since it started to get cold, I think dinosaurs had no shelter. Some of the dinosaurs died and then more died because of the coldness. And that's how I think dinosaurs became extinct.","i think that dinosaurs didn't die from an asteroid because there is no proof that dinosaurs have died because of a asteroid. i think dinosaurs died because earth's climate changed and since it started to get cold, i think dinosaurs had no shelter. some of the dinosaurs died and then more died because of the coldness. and that's how i think dinosaurs became extinct."
1157893961,"2","social",1,"I would choose Leonarda da Vinci because he is a artist and when I grow up I want to be a artist. And I love to watch birids in the morninig and I love to hear them cheering.","i would choose leopard davinci because he is a artist and when i grow up i want to be a artist. and i love to watch birids in the morninig and i love to hear them cheering."
1158963823,"1","science",1,"I think that people should not cut down trees in the rainforest. Because woolly spider monkey spits the seeds out and grows more plants. For reason two people should go to jail for doing that. For the last reason animals are endangered.","i think that people should not cut down trees in the rainforest. because woolly spider monkey spits the seeds out and grows more plants. for reason two people should go to jail for doing that. for the last reason animals are endangered."
1158963823,"1","social",1,"I think that Sally Ride should be celebrated because seh was the first young American at the age of 32. Later she wrote her own book. They tested a lot of robots.","i think that sally ride should be celebrated because seh was the first young American at the age of 32. later she wrote her own book. they tested a lot of robots."
1163289221,"1","science",1,"People should not cut the trees down because it will hurt animals and the people they will get hurt from the trees. And they will not be safe there. They will be in danger and bleeding and hurt so bad and the animals will be bleeding and hurt them so much and so bad.","people should not cut the trees down because it will hurt animals and the people they will get hurt from the trees. and they will not be safe there. they will be in danger and bleeding and hurt so bad and the animals will be bleeding and hurt them so much and so bad."
1163289221,"1","social",1,"I think we should celebrate Amelia Earhart because she drive the plane and I want to drive the plane. I want to do the same thing.","i think we should celebrate amelia earhart because she drive the plane and i want to drive the plane. i want to do the same thing."
1163659339,"1","science",1,"I do not like people cutting down trees because it is hurting all the animals. Now because people cut down trees, half of the rainforest is gone and some animals are extinct like the white rhino is extinct and black rhinos are almost extinct. This is really sad and the rainforest has medicine for us. So if the rainforest is gone, people will get very sick. And that's why we should stop cutting trees down. Thank you.","i do not like people cutting down trees because it is hurting all the animals. now because people cut down trees, half of the rainforest is gone and some animals are extinct like the white rhino is extinct and black rhinos are almost extinct. this is really sad and the rainforest has medicine for us. so if the rainforest is gone, people will get very sick. and that's why we should stop cutting trees down. thank you."
1163659339,"1","social",1,"Amelia Earhart was very brave because in the 1930's the planes were not as good as the planes today and she disappeared in 1937 nobody saw her again it was very scary because her plane could have broke and could have made her die so that's why I argue for Amelia Earhart thank you.","amelia earhart was very brave because in the 1930's the planes were not as good as the planes today and she disappeared in 1937 nobody saw her again it was very scary because her plane could have broke and could have made her die so that's why i argue for amelia earhart thank you."
1163885894,"1","science",0,"No because animals live in the trees and you can not ruin their home.","no because animals live in the trees and you can not ruin their home."
1163885894,"1","social",0,"We should celebrate Amelia Earhart my person should be celebrated because she needs acheer for her.","we should celebrate amelia earhart my person should be celebrated because she needs acheer for her."
1171381832,"2","science",1,"I say no they found dinosaurs fossiles before asteroid impact came a long long long time ago. but we don't know if an asteroid hit the earth so I say not cause I don't know if one did.","i say no they found dinosaurs fossils before asteroid impact came a long long long time ago. but we don't know if an asteroid hit the earth so i say not cause i don't know if one did."
1171381832,"2","social",1,"Henry Ford should be celebrated because he always was tacking his watches apart to learn more. About thing he was very clever and wanted people to fly like a bird and was an inventor. He went to a oneroom school and told funny jokes to and mechanical devices. Such as watches and wind up toy.","henry ford should be celebrated because he always was tacking his watches apart to learn more. about thing he was very clever and wanted people to fly like a bird and was an inventor. he went to a oneroom school and told funny jokes to and mechanical devices. such as watches and wind up toy."
1177464217,"1","science",1,"No because of you and because when you stop the XXX is the XXX XXX XXX.","no because of you and because when you stop the xxx is the xxx xxx xxx."
1177464217,"1","social",1,"Sally Ride because she was the first one to go space. She was a good person.","sally ride because she was the first one to go space. she was a good person."
1181559332,"1","science",1,"The people can not cut the trees because some animals live in the trees. If the people cut the trees, some animals can die. But the other animal can make egg and the other animal can get out of the egg. but some people need cut the trees because they want to be nice. But some people are not nice to the animals.","the people can not cut the trees because some animals live in the trees. if the people cut the trees, some animals can die. but the other animal can make egg and the other animal can get out of the egg. but some people need cut the trees because they want to be nice. but some people are not nice to the animals."
1181676134,"1","science",1,"No because you got to breathe air and it is a plant and creature like spiders got to live in it and birds got to live in it too. And if we do not have any air, then you can not survive and that's sad.","no because you got to breathe air and it is a plant and creature like spiders got to live in it and birds got to live in it too. and if we do not have any air, then you can not survive and that's sad."
1181676134,"1","social",1,"I would celebrated Sally because she is a astronaut and I like astronaut because you get to go up to space and you get to go on a rocket and you get to float on the moon and the rocket.","i would celebrated sally because she is a astronaut and i like astronaut because you get to go up to space and you get to go on a rocket and you get to float on the moon and the rocket."
1184219788,"2","science",0,"Dinosaurs love to eat meat. But some dinosaurs don't eat meet. Some dinosaurs eat leaves.","dinosaurs love to eat meat. but some dinosaurs don't eat meet. some dinosaurs eat leaves."
1184219788,"2","social",0,"I think Leonardo da Vinci shoudl be celebrated because he want to make things for others. Leonardo da Vinci wants to know ""if birds can fly he thought maybe we can fly like birds too."" Leonardo thought ""maybe one day we can fly like birds too.""","i think leonardo davinci should be celebrated because he want to make things for others. leonardo davinci wants to know ""if birds can fly he thought maybe we can fly like birds too."" leonardo thought ""maybe one day we can fly like birds too."""
1187323489,"1","science",0,"In my opinion people should not cut down trees one reason they should not cut down trees is animals will not live. That's why people should not cut down trees.","in my opinion people should not cut down trees one reason they should not cut down trees is animals will not live. that's why people should not cut down trees."
1187323489,"1","social",0,"In my opinion, Sally should be celebrated. She wrote a book. She tested robots. That's why Sally is celebrated.","in my opinion, sally should be celebrated. she wrote a book. she tested robots. that's why sally is celebrated."
1187839272,"2","science",0,"I think yes. Dinosaurs will no XXX XXX XXX no. A more reason.","i think yes. dinosaurs will no xxx xxx xxx no. a more reason."
1187839272,"2","social",0,"Leonardo da Vinci because I love art.","leonardo davinci because i love art."
1191825167,"1","science",1,"No, people should not cut down trees because many animals live there. Another reason I think people should not cut down trees because when tree are destroyed, animals get destroyed too. Then I think people can not cut down tree is because trees is oxygen. Last reason is because when tree get destroyed, plants get destroyed too. And plants is oxygen too. This is why I think people should not cut down trees.","no, people should not cut down trees because many animals live there. another reason i think people should not cut down trees because when tree are destroyed, animals get destroyed too. then i think people can not cut down tree is because trees is oxygen. last reason is because when tree get destroyed, plants get destroyed too. and plants is oxygen too. this is why i think people should not cut down trees."
1191825167,"1","social",1,"I would celebrate Amelia Earhart because she was the first woman to drive a airplane across Atlantic Ocean and it was dangerous. Another reason I think I would celebrate Amelia Earhart is because it took her 15 ours to drive a airplane and 15 hours is not a lot. Third reason is she flew all aroudn the world. Even now she was a legent, it was still sad she disappeared.","i would celebrate amelia earhart because she was the first woman to drive a airplane across Atlantic ocean and it was dangerous. another reason i think i would celebrate amelia earhart is because it took her 15 ours to drive a airplane and 15 hours is not a lot. third reason is she flew all around the world. even now she was a legent, it was still sad she disappeared."
1195727224,"2","science",0,"No because the asteroid hit earth. Earth must end even in these times and destroyed forever. No because the asteroid hit earth, the dinosaurs might ran away. No because the asteroid hit Earth, the dinosaurs might went to safe places.","no because the asteroid hit earth. earth must end even in these times and destroyed forever. no because the asteroid hit earth, the dinosaurs might ran away. no because the asteroid hit earth, the dinosaurs might went to safe places."
1195727224,"2","social",0,"I will pick Leonardo because I love birds and I like them too. I will pick Leonardo because I like flyiing stuff like aeroplans. I will pick Leonardo because I like to fly. I will pick Leonardo because I love to do fun stuff.","i will pick leonardo because i love birds and i like them too. i will pick leonardo because i like flyiing stuff like aeroplans. i will pick leonardo because i like to fly. i will pick leonardo because i love to do fun stuff."
1199559245,"1","science",1,"I think not because they need nature. Because the people need to be alive in this Earth. I think that the forest need to believe because the forest is good.","i think not because they need nature. because the people need to be alive in this earth. i think that the forest need to believe because the forest is good."
1199559245,"1","social",1,"Sally space the dsternot because she went to space thigirwixshe weed to be celebrating.","sally space the dsternot because she went to space thigirwixshe weed to be celebrating."
1212275381,"1","science",0,"People should not cut down the trees in the rainforest because they are animals in the rainforest. And there is XXX and food animals have to survive. If you want more zoo animals stop XXX the rainforest trees. What is there is a baby animal every one should do the right thing.","people should not cut down the trees in the rainforest because they are animals in the rainforest. and there is xxx and food animals have to survive. if you want more zoo animals stop xxx the rainforest trees. what is there is a baby animal every one should do the right thing."
1212828372,"2","science",1,"In my opinion there are many possible theories but I think the correct theory is the asteroid hitting Earth. I think this because when hit Earth the climate could have changed which could have lead to catastrophic events in climate change. That's why I think the asteroid hit Earth. My second reason is because it could block out sunlight and plants dying and herbivores dying and carnivores that's what I think.","in my opinion there are many possible theories but i think the correct theory is the asteroid hitting earth. i think this because when hit earth the climate could have changed which could have lead to catastrophic events in climate change. that's why i think the asteroid hit earth. my second reason is because it could block out sunlight and plants dying and herbivores dying and carnivores that's what i think."
1212828372,"2","social",1,"In my opinion both were talented thinkers but I like the better inventor is Henry Ford. Unlike Leonardo da Vinci he understanded mechnical mechanisms worked. And Henry took apart watches to learn more about watches. And tried to find all the watches he could. And I think he is cool because made tools from metal. And he was really good at math. These are some reason I like Henry Ford.","in my opinion both were talented thinkers but i like the better inventor is henry ford. unlike leonardo davinci he understanded mechanical mechanisms worked. and henry took apart watches to learn more about watches. and tried to find all the watches he could. and i think he is cool because made tools from metal. and he was really good at math. these are some reason i like henry ford."
1213351774,"1","science",1,"No humans (people) should not cut down trees in the rainforest. It is bad for animals for there living and their babies and so the babies make babies.","no humans (people) should not cut down trees in the rainforest. it is bad for animals for there living and their babies and so the babies make babies."
1213351774,"1","social",1,"I think Amelia Earhart should be celebrated because seh was first woman to fly across the Atlantic Ocean and she was persistent and she was the passenger on that first trip. Her trip was dangerous but she still went with it and idd not give up that is why I think Amelia Earhart should be celebrated.","i think amelia earhart should be celebrated because seh was first woman to fly across the Atlantic ocean and she was persistent and she was the passenger on that first trip. her trip was dangerous but she still went with it and idd not give up that is why i think amelia earhart should be celebrated."
1214654843,"2","science",1,"I agree because in a movie there are these rocks floating around and then it went to earth and it went to the dinosaurs.","i agree because in a movie there are these rocks floating around and then it went to earth and it went to the dinosaurs."
1214654843,"2","social",1,"Leonardo because he is the one who made the important stuff like a flying machine. He got that by the birds when he was a baby. I think he made the flying machine because people can go place to place.","leonardo because he is the one who made the important stuff like a flying machine. he got that by the birds when he was a baby. i think he made the flying machine because people can go place to place."
1214743633,"2","science",0,"The asteroid did kill the dinosaurs because I was thiink and I said did a asteroid killled all the dinosaurs. I agree too.","the asteroid did kill the dinosaurs because i was think and i said did a asteroid killled all the dinosaurs. i agree too."
1214743633,"2","social",0,"Henry Ford cause I like alekerk stuff cause they can fly and they can drive and they can move and they can call you on a phone and a what that is different.","henry ford cause i like alekerk stuff cause they can fly and they can drive and they can move and they can call you on a phone and a what that is different."
1215669283,"2","science",1,"The way now the dinosaurs got extincted is back in 1299. People did not live that time but now people are now living in 2019 the dinosaurs got extincted with asteroids struck the earth maybe the asteroid made earth break earth to a million states and countries and stuff.","the way now the dinosaurs got extincted is back in 1299. people did not live that time but now people are now living in 2019 the dinosaurs got extincted with asteroids struck the earth maybe the asteroid made earth break earth to a million states and countries and stuff."
1215669283,"2","social",1,"Leonardo was interested of birds and its wings to make a machine to fly Leonardo da Vinci also wanted to know how the wings work to make his machine fly like one.","leonardo was interested of birds and its wings to make a machine to fly leonardo davinci also wanted to know how the wings work to make his machine fly like one."
1219276286,"2","science",1,"I think that they died before the asteroid struck to earth because in the text it says that they have found out that the dinosaurs died before the asteroid because they did not have food to eat but plants stopped growing abd berbivores did not have no food to eat so they died but carnivores could not find meat to eat because carnivores died and that is why I think that dinosaurs died before asteroid struck the earth.","i think that they died before the asteroid struck to earth because in the text it says that they have found out that the dinosaurs died before the asteroid because they did not have food to eat but plants stopped growing abd herbivores did not have no food to eat so they died but carnivores could not find meat to eat because carnivores died and that is why i think that dinosaurs died before asteroid struck the earth."
1219276286,"2","social",1,"I would celebrate Leonardo because if we did not him think of the idea of a plane os by painting a picture of a provn othels people will have the idea to build it by the way how do we go to another country by a car or something it will take really long to wherever you are to where you want to go. And that is why I think we should celebrate Leonardo da Vinci.","i would celebrate leonardo because if we did not him think of the idea of a plane os by painting a picture of a provn othels people will have the idea to build it by the way how do we go to another country by a car or something it will take really long to wherever you are to where you want to go. and that is why i think we should celebrate leonardo da vinci."
1224387252,"2","science",1,"I think the asteroid killed the dinosaurs or not killed the dinosaurs. I think not a asteroid come down from the sky. It might XXX hot and they this even heater. Or it might XXX a XXX of dinosaurs and the asteroid might hidden did this felt an them the rock or it might XXX not XXX they XXX.","i think the asteroid killed the dinosaurs or not killed the dinosaurs. i think not a asteroid come down from the sky. it might xxx hot and they this even heater. or it might xxx a xxx of dinosaurs and the asteroid might hidden did this felt an them the rock or it might xxx not xxx they xxx."
1224387252,"2","social",1,"Leonardo da Vinci should be celebrated because he lived 500 years  and today he wrote his that first memory pictures of birds. Why I think he shhould be celebrated that he like birds and wings and should he because a interested.","leonardo davinci should be celebrated because he lived 500 years and today he wrote his that first memory pictures of birds. why i think he shhould be celebrated that he like birds and wings and should he because a interested."
1227659628,"2","science",1,"I think it did hit because in a book that I read it said the pale in XXX saw asteroid dust next to a fossil","i think it did hit because in a book that i read it said the pale in xxx saw asteroid dust next to a fossil"
1229137947,"1","science",0,"I think is no because the animals live in trees in if the tree don't live some animals don't live too.","i think is no because the animals live in trees in if the tree don't live some animals don't live too."
1229137947,"1","social",0,"In my opinion, Amelia Earhart is the best because she was the first woman in story.","in my opinion, amelia earhart is the best because she was the first woman in story."
1233274538,"2","science",0,"I think a asteroid did kill the dinosaurs because if there was a asteroid, it will create dust clouds and dinosaurs would breathe in dust and die.","i think a asteroid did kill the dinosaurs because if there was a asteroid, it will create dust clouds and dinosaurs would breathe in dust and die."
1233967762,"1","science",0,"No. The animals are dying and some animals are living in trees and eggs are in the nets and could be killing new born birds. And that's sad. The mom and dad are going to be very sad. And animals are using the trees. And if the people ar cutting down the trees, all the people on Earth will save up for the rainforest.","no. the animals are dying and some animals are living in trees and eggs are in the nets and could be killing new born birds. and that's sad. the mom and dad are going to be very sad. and animals are using the trees. and if the people ar cutting down the trees, all the people on earth will save up for the rainforest."
1233967762,"1","social",0,"I would choose Amelia Earhart because she disappeared and will people. And you know Sally Ride didn't disappeared like her and she might be die dye now and her fuinsay must decaying.","i would choose amelia earhart because she disappeared and will people. and you know sally ride didn't disappeared like her and she might be die dye now and her fuinsay must decaying."
1239616767,"1","science",1,"People not supposed to cut down the tree because all animals are living the trees.","people not supposed to cut down the tree because all animals are living the trees."
1239616767,"1","social",1,"We should celebrate Amelia Earhart because she kept work the plane and she did it and she crossed the Atlantic Ocean.","we should celebrate amelia earhart because she kept work the plane and she did it and she crossed the Atlantic ocean."
1245473387,"1","science",0,"No because animals live there and they need these leaves to grow. The rainforest is a place for animals. yYou can't cut down trees or hundreds of animals will and there will be no animals in the planet. If you do that it causes so many animals to not live on our planet.","no because animals live there and they need these leaves to grow. the rainforest is a place for animals. yyou can't cut down trees or hundreds of animals will and there will be no animals in the planet. if you do that it causes so many animals to not live on our planet."
1245473387,"1","social",0,"I choose Sally Ride because she is the first woman to go on space and I like to do 40 experiements and I liek to write about space explore I like to test out robots that's why I like Sally Ride.","i choose sally ride because she is the first woman to go on space and i like to do 40 experiements and i like to write about space explore i like to test out robots that's why i like sally ride."
1245511769,"1","science",1,"The people there can't. Because it is the home to the animals.","the people there can't. because it is the home to the animals."
1245511769,"1","social",1,"Sally because she is a astronaut and she is not bad.","sally because she is a astronaut and she is not bad."
1251977243,"1","science",0,"No. Because animals can die and more animals can become rare a lot of animals live in trees and if the people cut down the trees it is like they cut down their home.","no. because animals can die and more animals can become rare a lot of animals live in trees and if the people cut down the trees it is like they cut down their home."
1251977243,"1","social",0,"Sally Ride because it is a harder to get to space and hier.","sally ride because it is a harder to get to space and hier."
1252938454,"1","science",1,"Now because the animal will die.","now because the animal will die."
1252938454,"1","social",1,"Amelia on 2ntde sidewet de cufoh wus the puts itiopor new tai a upirh","amelia on 2ntde sidewet de cufoh wus the puts itiopor new tai a upirh"
1253745722,"1","science",1,"We can't cut down trees, because we won't have O2. O2 is air we breathe that trees release.","we can't cut down trees, because we won't have o2. o2 is air we breathe that trees release."
1253745722,"1","social",1,"Sally Ride had half a million people cheered when the space shuttle Challenger took off in Florida. Because we want to celebrate her is because she's nice.","sally ride had half a million people cheered when the space shuttle challenger took off in florida. because we want to celebrate her is because she's nice."
1254323465,"2","science",1,"I think a asteroid killed the dinosaurs because the asteroid made dust cloud which blocked tthe sun which made the plant to die which made plant eaters to die. And the air became cloder. And meat eaters will not get to eat the plant eaters. A asteroid strike can change the Earth weather like the rain turned muddy and undrinkable. That's why I think a asteroid struck Earth and how all dinosaur died.","i think a asteroid killed the dinosaurs because the asteroid made dust cloud which blocked the sun which made the plant to die which made plant eaters to die. and the air became cloder. and meat eaters will not get to eat the plant eaters. a asteroid strike can change the earth weather like the rain turned muddy and undrinkable. that's why i think a asteroid struck earth and how all dinosaur died."
