"ID","text.sc"
42,"I think people shouldn't be allowed to cut down trees in the rainforest because there might be animals living up on a tree or animals that get food from trees and trees are living things. These are all the reason why I think people shouldn't be allowed to cut down trees from the rainforest."
43,"I do not think we should cut down trees in the rainforest. One reason is because the animals can be extinct. The second reason is the trees might fall on the animals. And lastly monkeys and others animals can't climb trees. For these reasons we shouldn't cut down the trees."
45,"I don't think they should cut down trees because many animals can die and get hurt."
46,"No."
48,"They cannot cut down trees in the rainforest. Because you need plants to breathe to survive. You can't cut down trees because some fruit grows on the trees. You need trees so much. People need trees. Keep the trees."
50,"No I don't think should cut down trees because that is bad news."
51,"Yes because if there is no houses humans will be extinct. And we can't keep warm and no furniture. That's why I think people should cut down trees."
55,"People cannot cut the trees in the rainforest. Because people cannot do that. And that's not allowed."
56,"You should not be able to cut down trees because you're taking away trees' oxygen. Your taking away animals' homes. That's why you don't want to cut down animals' trees."
57,"I don't think you should cut down trees in the rainforest because you're taking air away. You are also destroying habitats. You are also killing animals. I don't think you should cut trees down in the rainforest."
59,"No I don't think they should cut down the trees. Because it will kill the animals."
60,"People should not be allowed to cut trees in the rainforest because if"
62,"No! We should not be allowed to make homes in the rainforest because the animals will die. Do not do that."
63,"Because the want to take care of the set in the rainforests."
64,"No! We should not be allowed to make homes in the rainforest because the animals will die do not do that."
65,"No people cannot cut down trees from the rainforest because spider monkeys have to have tree to eat bananas from the tree."
66,"No because it is bad for the woolly spider monkeys."
67,"No they cannot cut down trees because trees they help you be good and funny and this is"
68,"No! People should not be allowed to cut down trees in the rainforest because the plants and animals need to grow. The rainforest is destroyed quickly."
69,"Yes because it will down huge numbers of tree clearing land build houses."
70,"No because the are killing creatures in the rainforest. Another reason is they are hurting the rainforest."
71,"No because tree are not going grow. No more never."
72,"People should not cut down trees in the rainforest We cannot breathe without trees in the rainforest we can die. And the are killing animals habitats. And that will not be enough food for animals. Do not cut down trees in the rainforest."
73,"Yes they should."
74,"They should not be cutting trees because if they do it will destroy the spider monkey's habitat and the spider monkey would die. Then the spider monkey would not exist and nobody would see them ever again."
75,"I like no. No it is not good to cut down tree."
76,"I think people should not cut down trees. The first reason is I like animals. The second reason is I like plants. The last reason is I like finding leaves."
77,"My opinion is that they should not cut the rainforest down because the animals that live there need a home and they're taking away our medicine and they're taking away our food and that's why they should not cut down anything in any rainforest."
78,"No! Because animals can live in the trees and you are not using a resource correctly. That's why I think you should not cut down trees in the rainforest."
79,"Do you want to know why I think people should not be allowed to cut down trees in the rainforest? Well then let's get started. The first reason why I don't want that to happen is because they could hurt animals, fruit, and plants. The next reason why is because there used to be thousands of monkeys now there's only a couple hundred. The last reason why I don't want that to happen is because they are hurting lots of animals. And that is why I don't want people to chop down trees in the rainforest."
80,"Yes people should cut down trees because they need to live so they won't die."
81,"Yes people should cut down trees because the animals need homes to live and survive and the rain won't get on them."
82,"They cut the trees."
83,"I don't think there should because trees give us oxygen and I think that trees give animals oxygen too so I hope the animals are okay and the people not cut down trees and I hope the trees are okay."
84,"No because they get hurt."
85,"No because trees or plant you've nature and XXX of time are my dad's favorite."
86,"No because is going to do to the spider monkeys going to die."
88,"No people are not allowed to cut the trees."
89,"No because the rainforest is a habitat for many animals. Animals are living things. If you destroy their habitat they will run everywhere."
90,"No people cannot cut down trees because babies are born each day. Some animals are endangered. People are cutting down trees."
91,"This is not a good idea because you could hurt a animal and a plant's so that's why you not cut down trees."
92,"No because the animals will not have a place to live at and will not have food to eat and they might be harmed if they are on the tree."
93,"No they should not cut down trees in the rainforest because earth damage no one do that"
94,"I don't think people should be allowed to cut down trees because they are destroying homes for animals. They are also getting the animals endangered."
95,"You cannot cut down trees because you need oxygen and air to breathe from plants so you can survive. If we don't have trees then the animals have nothing live in. Then we don't have air to breathe and survive then we have no oxygen and die. People should not be allowed to cut down trees."
96,"No they cannot some spider monkeys in"
97,"I think they should not XXX because the XXX XXX XXX."
98,"No you cannot do that. Because animals live in the rainforest animals are very in important to Earth."
99,"No. Because it is causing problems like: species, extinct species, destroying rainforest and habitats of animals who are endangered and non-endangered. So we should: not buy a lot of wood, plant trees, flowers, fruits and vegetables."
100,"No people should not cut the trees because the animals will die. What if it was a baby!"
101,"No!!!!! I don't think people should cut down trees because you can't cut the tree."
103,"They should not be allowed to cut trees down animals' homes they are wrecking food that they are hurting animals that's why a lot of animals are going extinct they are going in zoos they are killing a lot of animals."
105,"I do not think we should cut down trees in the rainforest. One reason is because it can hurt plants and animals. The second reason is if they cut the tree down the animals will not have somewhere to live. And lastly the monkey is safe for now. For these reasons we should not cut down tree."
106,"No because people are destroy animals' habitat."
107,"The forest can live in forest."
108,"I don't think they should cut the rainforest because there are some animals in danger and there are baby spider monkeys in the trees."
109,"No people should not be allowed to cut down trees in the rainforest."
110,"No because the animals won't survive in the rainforest. So that's why the people should never cut down the trees because that's their home so they should never cut down the"
111,"I do / do not think we should cut down trees in the rainforest. One reason is it destroys the rainforest. The second reason is they destroy the spider monkey habitat. And lastly they should not cut down trees because that's how they've destroyed the rainforest."
113,"I do / do not think we should cut down tree in the rainforest. One reason is the second reason is And lasty for these reason we should / should not cut down the tree."
114,"I think people should not get to cut down trees my first reason why they should not get to cut trees is because it's the rainforest's and animals' homes and they don't do that to they houses and they want to do it to animals' houses."
115,"No people should not cut down trees because animals need homes."
117,"No they should not be allowed to cut down trees because animals lose their habitats and animals lose their homes and get destroyed as their homes get destroyed. And the people who train the animals won't get to train them anymore! Because they are not there and won't get to learn new things anymore!"
118,"No! 1st reason: It will destroy all animals. 2nd reason: You can just buy 1. 3rd reason: You may feel bad."
119,"No! Because it will kill and destroy animals and their habitat. It is destroying the rainforest. That is why I don't want trees cut down."
120,"My opinion you should not cut down trees is because they need a good place to live in."
122,"No I don't think so because they will ruin the tree and leaves won't grow on the tree. They might knock down bird nests. If a bird laid eggs and they have babies inside and will be bad and the egg will crack with the baby inside the egg and if the mommy bird come back she will be super mad if the baby get so hurt and it have a scratch on it."
123,"No they should not cut tree because it is not good for animals."
124,"No because animals will get endangered."
125,"No because it's killing the animals and plants killing the habitat."
126,"No cutting trees in the rainforest is bad because that is ruining their habitat."
127,"People should not cut down trees. Trees from the rainforest. Trees give us air. Animals live in trees. Bugs need trees and plants. People need trees. Trees are really useful. People should not cut down trees. Trees from the rainforest."
128,"I think they do not need to be cutting trees down because we need trees."
130,"I do not think we should cut down trees in the rainforest. One reason is animals need food. The second reason is animals need them to swing on. And lastly animals need trees. For these reasons we should not cut down the trees."
131,"People can do cut the trees down because the monkeys will not by came the trees."
133,"Did you know all the trees help you breathe. People should not cut down trees. Its making the world difficult. No! No!"
134,"No because animals species and animals need to survive."
135,"People are not allowed to cut down trees because the tree may fall on the woolly spider monkeys. People are not allowed to cut down trees because maybe the woolly spider monkeys may be on the tree and get hurt."
138,"No! They can't they are destroying the animals homes they have to stop the animals are dying the insects are dying they are killing the rainforest. Everything has to stop if they keep on going more animals will dying and dying and dying and never stop just stop please."
139,"No because is no rainforest."
140,"People should not be allowed to cut down the rainforest trees so the forest thing. So the first thing why I think people shouldn't be allowed to cut down trees is that the animals might bite you. The next thing why I think people can't cut down the trees is that the animals might think your danger that why I think people should not be allowed to cut down trees."
142,"Should people be allowed to cut down the trees? No we want plants trees. And water and air. We want to survive. I think people are not allowed to cut down trees."
143,"No because the animals are going to get hurt in the rainforest. Also the plants are going to get smush. Plant in the rainforest what hurts one organism could hurt many organisms."
144,"Because if there's a monkey on top of the tree and someone chops it off and the spider monkey falls off and hits the floor very hard it will die."
145,"I don't think they should cut down trees because it will hurt the animals and that is why people should not cut down the trees."
147,"Yes because the animals can move around and have space and they can hunt around and find homes."
150,"The people should cut down the rainforest because the rainforest is getting really old."
151,"Hey you! I do not want you to destroy one of the plants of the rainforest. Because if you do then the animals won't have much oxygen left. But you can just remember what I said."
152,"Please do not cut down anything in the rainforest. Because it will kill all the insects and it will kill all the woolly spider monkeys and all the plants. If you cut down the rainforest everything will be extinct. Please do not cut down anything in the rainforest. People should not be allowed to cut down trees in the rainforest."
153,"We should not be allowed to cut down trees because animals live there and it makes food. It has many resources."
154,"No I don't think people should cut down trees."
156,"Yes, people should cut down trees because the people in the rainforest need the trees to build houses in the rainforest to live in. This is why people should cut down trees."
157,"No because if they cut down the trees the spider monkeys will be endangered."
159,"Cutting trees is not good because trees give us oxygen and also don't cut trees from the rainforest because trees give us air to breathe. The more we cut trees, the less oxygen we have because trees give us oxygen and if we cut trees we would have less oxygen so we need to grow more trees in the rainforest."
160,"No because XXX in rainforest."
161,"I think no. Reason 1 because if they cut down the trees all the nature in on on the tree will die. Reason 2 because if they cut down the trees the forest will be destroyed because without trees animals can't breathe. Reason 3 because if the cops see you cutting down trees you will go in jail for 100 years."
162,"I think they should not cut down the trees because that will hurt the rainforest."
163,"No because that hurts the place and forest."
164,"I think they should not allowed people to cut down trees. Why because monkeys live in the trees."
166,"I do not think they should cut trees in the rainforest. One reason is we need trees. Second reason is animals need trees. Lastly animals will die if the trees all gone. For these are the reason should not cut."
167,"I don't think this is a good idea to cut down the trees because the animals will be extinct forever. There will be no trees left. There will not be any flowers. Do not cut down the trees ever."
168,"I do not."
169,"No the trees will hurt one of their habitats."
170,"No I don't think people should cut down trees because they are destroying the forest."
171,"No because I care for animals and plants."
172,"No! People should not cut down trees. It should be illegal because God spent lots of time making our world. There is 26 countries and he made it, so no!"
173,"People not allowed to cut the trees."
174,"Yes because they have to go."
175,"No I do XXX XXX XXX XXX XXX XXX. It is the time at"
176,"No I don't think people should cut down trees. I like the rainforest because I then should not cut down trees. Because monkeys need to live in them in a home."
177,"I think that people cannot cut down trees because"
178,"No because it might be their home."
179,"A monkey are us a XXX is a XXX."
180,"Hey, what are you doing? Why would you cut that tree? Animals live in that tree, okay. You can hurt a animal. I dont care if I hurt a animals. I don't want to get fired from"
181,"No because there less life on Earth and there also going to be less clean air to breathe and more people will die and then planet Earth will not have that many people living and then it will be very lonely. And then it will empty planet too like the other planets and there be no more life on earth."
182,"They should not because the monkeys won't swing and throw the seeds and birds won't have a"
183,"I do / do not think we should cut down trees in the rainforest. One reason is they want play. The second is animals could not eat and lastly for reason we should / should not cut down the trees."
184,"If you cut down all the trees in trees in the rainforest where are the animals going to stay? And we need trees for oxygen."
185,"People should not be allowed to cut down trees in a rainforest. Because they're destroying everything. We need to survive.They're also destroying bugs. Bugs are also important. We don't need any more houses you use the ones you have. If you don't you're doing something called wasting resources. I should be illegal to cut down trees in the rainforest."
187,"I don't think we should destroy the rainforest! My first reason is it will kill animals and food/plants. My second reason is it will pollute the air. My third reason is I don't think you should mess up someone else's habitat if you don't want yours messed up. I don't think people should cut down trees in the rainforest."
188,"People should not be allowed to cut down trees in the rainforest. Me thought not that. You should not cut down the trees because you are not helping the environment. You are helping us not help breathe out."
189,"No cut the trees because spider monkey need tree."
190,"Says your opinion Yes! But mine No! Mine is no no no no no no no no!!!"
191,"No people aren't allowed to cut down trees in the rainforest because animals need food homes. All living things need to live because if they don't have food or water then they will die but if they do get food or water then they will live."
192,"It is not good to cut down the trees rainforest. It is bad to cut down the. Why down you want to cut down trees."
193,"No so all the animals can survive and live in peace and eat and play and have good time together and have food to eat and swing on trees. Because that's where they live on and play together and so they can be with each other and have fun together and play with each other and have a good time."
194,"Yes because they should cut a little bit room like 6 trees so the kids and family can live."
195,"You should not do it because animals should live long as their supposed to and trees help us get oxygen so we can breathe."
196,"No that's a bad idea. Animals can be in danger. And they will die."
197,"I don't want to cut the tree. Reason 1. They not going to have no food. Reason 2. They not have a life."
198,"No because there might be something in the tree so do not cut down trees. XXX live in the trees. There might be a bear living in the trees. There might be XXX in the trees so please do not cut down trees. Thank you."
199,"Yes because then there will be no people but also no because trees are for oxygen."
200,"No they should not cut the tree because they are going to kill the monkeys and don't want to happen."
201,"I think they should not cut the tree because some animal that eat less."
203,"People should be able to cut down the trees because they're trying to make shelter and they need a nice clean shelter."
204,"I do not think we should cut down trees in the rainforest. One reason is"
205,"I think cutting down trees is wrong because we need to breathe and we need oxygen and we need houses to live in and we need insects and animals. That's why I won't like the trees being cut."
206,"They shouldn't because they are ruining their home and some died."
207,"No! They because monkey need trees."
208,"I think that is not a good idea to destroy the rainforest because the animals are getting destroyed at the rainforest. That is not very nice. To destroy the rainforest No I do not want them to kill."
209,"I think you should not cut down trees. One reason is because we need animals to survive. The second reason is we need the food from the rainforest. The third reason is we need the air to breathe. The last reason is we also need the trees because we need them for a great view. I think you should not cut down the rainforest."
211,"No because boy can't have food."
212,"One I think do not because this is not good for animal."
214,"No because do not cut the tree."
215,"Should people be allowed to cut no because the spider monkeys."
216,"They should not. Because they are alone. Alone are their they can die."
218,"No because if people cut down trees why because animals get hurt."
219,"No because you could breathe. And you should not cut down trees because you could not talk. And not even play with anyone at school because they will laugh at you."
220,"I think people shouldn't cut down trees. One reason is it kills animals. Another reason is it is destroying habitats. Another reason is there is no food. XXX not cut down trees in the rainforest."
223,"Do not think we should cut down trees in the rainforest. One reason is the trees are beautiful. The second reason is because the tree need to XXX. And lastly animal is for these reason we should / should not cut down the trees."
224,"Yes because the people can chop the bough."
226,"No they should not be allowed to cut down trees. Because all of the animals that live in the rainforest will be extinct. And if they're extinct then other animals can to. And then it might be no animals! That's why they can't cut trees down."
228,"NO!! Because you're making animals hard to stay alive and that is no good because animals are important to nature and because to some people they don't want their favorite or animals to die so don't cut down tree to make it hard for animals to survive."
229,"People should cut trees because people need more shelter."
230,"I think people should cut down trees because they give Mrs. XXX coffee."
231,"No because trees make air for us to breathe. They are homes for animals to live in and play and they are nature."
232,"I think people should not be able to cut down tree. One reason is animal in the forest are endangered like the spider monkey. It might be extinct. Also people destroy too many things like the rainforest, and it's not good to cut down the rainforest. People can't breathe without trees. People can't survive. That is why people should not cut down trees."
233,"Yes be they have to go from place to place and they need more road for people going place to place."
235,"I do not think that people should be allowed to cut down trees in the rainforest."
236,"Opinion No, people should not cut down trees. It is not nice to do that. Evidence People ordered to cut half of all the trees in the rainforest. Closure."
237,"No because when a rainforest is destroyed these plant and animal are destroyed with it. This is bad news for many plants, flowers, and fruits that need spider monkeys to carry their seeds from place to place. For example, there were once thousands of spider monkeys, now there are only a few hundred."
238,"I think they should not because that is where they live. Because some babies get born every day. Because small animals are hard to see. Someone's baby might die really badly. Some are nice. Some don't want to die. Some are scared to die. Some of those monkeys are sad because some already died! That is why you should not kill animals."
239,"Because the rainforest is dead. And the people will be dead like animals."
240,"People cannot cut down trees. They should not cut down the trees. People are not allowed to cut down trees. People should not cut down trees. They can never cut down trees. You should not cut down the trees. You should not be allowed to cut down trees."
241,"I think people should be able to cut down trees in the rainforest."
242,"Yes people should be allowed to cut down trees in the rainforest. No because the spider monkey could be extinct. No because the animals. No because I XXX they to XXX."
243,"No they cannot because they are destroying the animal and their homes. They are destroying the spider monkeys there are more and more people living on the Earth. Families are cutting down huge numbers of trees and they are destroying the XXX too. Because that is not right."
244,"No because it will kill monkeys and they are cute."
245,"No because a lot need to survive forever and play and fit others."
246,"No people can't be allowed to cut down trees in the rainforest. Because now there are only a few hundred spider monkey. This is bad news for many plants flowers and fruits."
248,"No because some animals could die and those animals could be helpful for us and the USA. And that is why I think people should not be allowed to cut down the rainforest trees."
249,"People should not be allowed to cut down trees. Living animals live in trees. No cutting down trees anymore."
250,"No people should because to cut down trees in the rainforest."
251,"And if you cut down the trees they might die. Spider monkeys are babies everyday and you don't want to kill them. This is why you should not cut down trees."
252,"NO!!!!! Because monkeys are beautiful animals and you are making animals extinct. Now you know you should not!!! Cut the trees in the rainforest."
253,"Yes because they need shelter or so they can live to keep their babies warm in they need to be warm in case they always need clothes in covers in when they hunt food can be warm in their babies can be warm when they go with sleep them mom or when they go then he can be cozier."
254,"They should because monkey live there. If I do then I kill mother nature."
255,"They should not be allowed to cut down trees. If they cut down all of the trees in the rainforest, all of the little animals like monkeys and birds will get endangered. All of the nests will be destroyed. Also if there are little birds in the nest they would not survive. Also if there is a monkey in the tree when it falls down it will not survive either."
256,"I think people shouldn't cut down trees in the rainforest rainforest because it like XXX in the rainforest."
257,"People should not cut the trees down because animals live in the rainforest."
258,"I should people kill trees because"
259,"No, people should not be allowed to cut down trees. 1. It's killing animals. Because they may get to be extinct. 2. So they get oxygen. Because people and animals would be getting fever. 3. They may be rare but they might die and be extinct. I know because it says should people cut down trees which is killing animals. Conclusion that is why people should no be allowed to cut down trees."
260,"No people should not be able to cut down rainforest trees. If they do then spider monkeys will be in danger."
261,"I think people cannot cut down trees because spider monkey need habitat and hunt food to survive in the rainforest and stay in the rainforest to have home to stay at."
262,"No animals need tree. Monkey need tree. They need tree to make XXX and that is bad for the flowers. Half of the rainforest are the sick XXX and they is killing."
263,"No! Because animals in the rainforest need to stay warm and dry and so their food doesn't get all wet and soggy."
264,"No people should not be allowed to cut down trees in the rainforest because if they do monkeys will become extinct forever. And if they do monkeys will lose their lives and that's why I think people should"
265,"No they could cut down these because the animal what live in the rainforest."
266,"People should not cut down trees in the rainforest because spider monkeys would not have a shelter or survive and plants!"
267,"Yes should people be allowed to cut down trees in the rainforest by people who do not have shelter."
268,"People should not be allowed to cut down trees because monkeys and other animals that might be in the tree and might get hurt."
269,"I think they should not cut trees down."
270,"I think they should not be able to cut down trees because the animals need a home. And what if the world did not have a home we would not be happy so animals do need a home."
271,"You should not cut down the rainforest. I know because you are cutting down trees in the rainforest, you are killing animals, and now you know why you should not cut down the rainforest."
272,"No because it is not fair for the animals. And animals need to live too. And they is XXX XXX."
273,"People should not be allowed to cut down trees in the rainforest."
274,"If they cut down trees, animals will be extinct. If there would be no more trees for animals to live in for animals that live in trees and they will be extinct and the animals have to survive and trees also the rainforest to survive. Also other animals species need to survive."
275,"People is not wise to cut tree down food left. And it is not going to be any more animals."
276,"No! Because you need trees to survive. Because it can make you live longer if you don't have trees you will not survive and not live as long if you don't cut down trees you might live longer."
277,"I think people should not cut trees because animals live in them."
279,"They shouldn't be able to cut down trees. Animals are living things too. If you think spider monkey help us. We need plants and they give us a lot of things we need. Now you know why to not cut down trees."
281,"Rainforests are one of the Earth's most valuable resources. But the rainforest are being destroyed very"
282,"No people should be allowed to cut down trees in the rainforest. No because spider monkey could be extinct. These are some reasons why I don't think people should be allowed to cut down trees. And woolly spider monkeys. Now there are only a few hundred. This is bad news for many plants flowers and fruits."
284,"Should people be allowed to cut down trees in the rainforest no because they won't have oxygen. To stay alive long. And they will die if they die we won't see them."
285,"I say no because animals want have homes even spider monkeys."
286,"They should not because they're dying."
287,"People should not be allowed to chop down trees. Because the monkeys will become extinct. It kill lots of animals. And the rainforest will become extinct."
289,"No because animals might be in the rainforest like foxes might be in the rainforest and I think that bears are in the rainforest and goat."
290,"People should not do it because animals live in it."
291,"No, they are not allowed because if they do the monkeys will be extinct. And the monkeys will die. And the monkeys will be gone forever. So no."
292,"I think they should not cut down the trees because the animals live in the rainforest in the animals die."
293,"Yes people need to buy a house and they should have seeds and food like meat and they need to cook it so they can so they can have food."
294,"No the people can not cut down the animals homes."
295,"No because the animals want to have a place to live. Those are some reasons why I don't think people should be allowed to cut down tree. The rainforest is home and animals that live anywhere else when a rainforest. These plants and animals are destroyed with it some rainforest animals are becoming."
296,"People should not be allowed to cut the trees. Because it hurts the environment."
297,"No XXX XXX XXX XXX XXX. XXX XXX XXX XXX."
298,"Because there won't be more trees and the rainforest will be destroyed,"
299,"No they can't not cut the rainforest down. Spider monkeys need to XXX XXX. If they cut the trees down they won't."
300,"I do not think they should cut down trees because tree has a life like us so we need to treat them the way they treat us."
301,"No that must not because animals and plants will not surviving and or well bye animals and plants well surviving and animals habitat for the animals."
302,"Yes they have to live or if they don't they won't live."
303,"No they should not because the animals will become extinct and I like monkeys and animals are cute."
304,"People should be allowed to cut down trees in the rainforest because to keep them safe. People should be allowed to cut down trees in the rainforest because it give them protection. People should be allowed to cut down trees in the rainforest because it is the right thing."
305,"No. When a rainforest is destroyed these plants and animals are destroyed with it. Some rainforest animals are becoming very rare. For example there were once thousands of woolly spider monkeys. Now there are only a few hundred. This is bad news for many plants, flowers and fruits that need spider monkeys to carry their seeds from place to place."
306,"No cause are rainforest will be down."
307,"No because then the animals don't have a home and they want to live like us too and be born. And they want peace like us. And have a happy life like us. That is why you should not be cutting down the trees in the rainforest."
308,"No. Because if they cut down trees there be no monkeys. Trees are to look at. Not to cut down."
309,"No, because if the people cut the trees I think the spider monkey will be extinct."
310,"No people cut down trees. Animals need shelter with no shelter animals will die. The rainforests die with it die 100 monkeys the rainforests."
311,"People should allowed to cut down trees in the rainforest because we need a home and other things that are made of wood."
312,"I think people should not cut trees at the rainforest because they or not there thinks"
313,"They do to cut trees this is why"
315,"People can't cut down trees because that is not right because it is a good place that the animals to survive in rainforest they will not survive XXX if they cut them down."
316,"Yes because it could kill other animals."
317,"No because they word be extinct and no tree would be there."
319,"They should not should there habitat because they will be endangered."
320,"No, I think they should not because there's monkeys and parrots that live there. That's why I think they should not be able to cut down trees in the rainforest"
321,"People should not cut the rainforest because the spider monkey would die and he would not have a home."
322,"No, because the animals will become extinct forever and they will no longer life. They will die and they might be last animals that live forever."
323,"People should not be allowed to cut down trees in the rainforest because a lot of nature lives there, and if the people cut down the trees the animals will have no habitat."
325,"No because the animals need a place to live and the animals will die. Animals need"
326,"People should not cut down tree because the monkey need tree to they can get there food from the tree. And people cut tree down because to they can make a house and roads to get a travel from place and place. But the rainforests are being destroyed very quickly."
327,"Rainforests are one of the Earth's most valuable resources. But the rainforests are being destroyed very quickly. New babies are born everyday."
328,"No because the animals don't have shelter and they will be extinct they will die."
329,"Will yes people should cut down the trees."
330,"I can pet animals. Jump in the XXX. XXX because animals are nice."
331,"People should not cut trees."
332,"You should not because monkeys will be endangered. You should not kill them because it's God's creation. You should not because animals live in trees. You should not kill trees because less oxygen."
333,"They should not cut down trees because animals live in the trees and they live in the forest too. They also animals walk on the floor and the tree can fall on the animal and they can get hurt."
334,"I think people should not cut down trees in the rainforest. Trees need to grow."
335,"No because the animals don't have shelter and they will be extinct then they will die."
336,"Yes because they have a lot of grass and trees to be allowed to cut down trees in the rainforest."
337,"People should not cut down trees in the rainforest because people should allowed people to cut down trees."
338,"No! Because half of the rainforest is gone!!! And all of the rainforest animals would be gone."
339,"No because it's not fair for the animals. If the rainforest go away the plants and animals are going to be extinct."
340,"No. Reason 1. Because animals will die. Reason 2. Because the animals that live there will die too. Then the food that they eat will die too. Also the animals will be gone forever."
341,"Rainforest are one of the Earth's most valuable rainforest. But the rainforest are being destroyed."
343,"They should not cut down the trees because when you cut the trees the would be stuck forever. They will make their house. When animals push the trees they are save. They go their home sleep. When is again they will push hard and save when in night when people tip toe walking slow they will cut tree animals near."
344,"I think they should because if they don't there won't be any roads or houses to live in or drive to place to place."
345,"People should be allowed to cut down trees in the rainforest because they"
346,"I think people should could down"
347,"I think they should not be allowed to cut down trees in the rainforest because a lot of animals will die. Like there used to be thousands of spider monkeys of spider monkeys but now there are hundreds. Plants will start dying."
348,"No because they will die."
349,"People should not be allowed to cut down trees because trees are many animals' home! And they are having babies! That is why you should not cut down trees!"
350,"The people should not cut down the trees because the animals need home to live. If they cut down the trees then the animal will not have a home. All of the animals will not have a home."
351,"I think yes because if the people don't hunt then the people will die."
352,"People should not cut down the trees because that can damage the home of the animal. Because the animal doesn't have no place to go. And does not have oxygen."
353,"They should not because it will make trees die and woolly spiders monkeys will die too!"
354,"People is not allowed to cut tree down because animals need food some animals sleep in tree some animals live in tree."
355,"People should not cut down trees because it make the animals extinct."
356,"People should not cut down trees because the animal will be extinct."
357,"The people should not be allowed to cut down trees in the rainforest."
358,"They should not be allowed to do because it is destroying the animals' home."
359,"No because is bad."
361,"No they can't cut down trees because some animal sleep in trees like bears and snakes lizard and sometimes monkey and sometimes bats."
362,"Rainforests are one of the earth's most valuable resources. But the rainforests are being destroyed very quickly. New babies are born everyday there are more and more."
363,"I think people should not cut rainforest because animals live in rainforest. Now you know why you should not cut down rainforest."
365,"The people should allowed to cut down trees. The rainforest."
366,"People should not because the monkeys to climb."
367,"No because spider monkeys will be extinct and endangered. And animal be hunt spider monkeys will be extinct too. And that animal that hunts the other animal will be extinct too. And there used to way more than 100."
368,"No."
369,"No! They should not cause the rainforest is home to a lot of rare plants and animals so they should not destroy the rainforest."
370,"No because"
371,"No because the whole rainforest will be destroyed and we won't have a rainforest. It won't be here no more and the animals will be extinct and the trees will be extinct too."
372,"They should not cut down trees because the animals will get endangered and extinct. The animals cannot help nature to grow nice and tall. That is why we need tree and animals to survive and grow and be happy for all of us and we can grow strong just like the animals."
373,"No yes people should be allowed to cut down trees in the rainforest. No because the spider monkey could be extinct. A place to live. Those are some reasons why I don't think people should be allowed to cut down trees."
374,"No because animals they love the food in rainforest and animals love their home they heaven."
376,"They should not be allowed to cut trees. The first reason is that when more people come more spaces to build houses. The next reason is that more things, cars and toys. The third reason is that more stores. The last reason is that there will be more stuff more of everything. This is why people should be allowed to cut trees."
