ID,s_id,grade,subject,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
23,37,2,science,16,23.1,50,74.76,1,16,31.25,81.25,56.25,25,18.75,12.5,0,6.25,0,0,6.25,12.5,0,6.25,0,12.5,0,12.5,0,0,0,0,0,6.25,0,6.25,0,6.25,0,6.25,0,0,0,0,25,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,12.5,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0
24,37,2,social,28,9.53,92.33,30.01,25.77,28,28.57,78.57,46.43,25,17.86,7.14,0,7.14,3.57,0,3.57,0,7.14,7.14,7.14,7.14,0,17.86,0,0,0,0,0,0,0,0,0,0,0,17.86,3.57,0,0,3.57,21.43,3.57,7.14,3.57,3.57,0,3.57,3.57,3.57,0,0,3.57,0,3.57,0,0,7.14,7.14,3.57,0,0,0,3.57,10.71,0,10.71,3.57,7.14,0,0,7.14,3.57,0,0,0,3.57,0,3.57,0,0,0,3.57,3.57,0,0,0,0,0,0,0,0,0,0
25,38,2,science,9,1,13.32,98.01,99,9,22.22,88.89,55.56,44.44,33.33,22.22,0,0,0,11.11,11.11,0,0,0,0,11.11,0,22.22,0,0,0,0,0,11.11,11.11,0,0,0,0,11.11,0,0,0,0,22.22,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,11.11,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0
26,38,2,social,22,21.87,96.52,1,25.77,22,27.27,86.36,59.09,31.82,18.18,4.55,0,0,13.64,0,13.64,4.55,9.09,9.09,0,4.55,0,22.73,0,0,0,0,0,0,0,0,0,0,0,22.73,0,0,0,13.64,13.64,0,9.09,0,4.55,0,0,4.55,0,4.55,0,0,0,0,0,0,4.55,4.55,4.55,0,0,0,4.55,13.64,4.55,9.09,9.09,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,4.55,4.55,0,0,0,0,0,0,0,0,0,0
27,40,2,science,11,99,18.16,85.21,1,11,27.27,81.82,45.45,9.09,9.09,9.09,0,0,0,0,0,27.27,9.09,0,0,0,0,18.18,9.09,9.09,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,18.18,0,9.09,9.09,0,0,0,0,0,9.09,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0
28,41,1,science,41,22.11,83.54,25.63,96.29,6.83,12.2,87.8,58.54,21.95,14.63,4.88,7.32,2.44,0,0,7.32,7.32,9.76,2.44,7.32,12.2,4.88,14.63,2.44,0,4.88,0,0,4.88,4.88,0,0,0,0,9.76,0,0,0,0,14.63,2.44,4.88,7.32,2.44,0,0,0,0,0,0,2.44,2.44,0,0,0,9.76,7.32,2.44,0,0,0,0,14.63,2.44,17.07,2.44,9.76,4.88,0,0,0,0,0,0,2.44,0,0,2.44,0,0,14.63,14.63,0,0,0,0,0,0,0,0,0,0
29,41,1,social,18,62.04,50,58.07,99,6,0,88.89,55.56,27.78,27.78,16.67,0,5.56,5.56,0,0,11.11,11.11,11.11,0,0,0,22.22,5.56,5.56,0,0,0,16.67,16.67,0,0,0,0,11.11,0,0,5.56,0,11.11,0,5.56,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,5.56,0,5.56,5.56,5.56,0,0,16.67,11.11,16.67,5.56,11.11,0,0,0,0,0,0,0,5.56,0,0,5.56,0,0,22.22,16.67,0,0,0,0,0,0,0,5.56,0,0
30,42,2,social,67,26.24,50,10.38,80.01,16.75,13.43,83.58,59.7,22.39,8.96,7.46,0,1.49,0,0,13.43,8.96,10.45,13.43,5.97,7.46,0,22.39,1.49,1.49,5.97,1.49,0,2.99,2.99,0,0,0,0,5.97,0,0,0,0,14.93,1.49,10.45,1.49,1.49,0,0,1.49,0,1.49,0,0,0,0,0,0,8.96,1.49,1.49,4.48,2.99,0,0,16.42,1.49,5.97,0,2.99,2.99,2.99,1.49,0,0,1.49,0,2.99,0,2.99,0,0,0,19.4,10.45,0,0,0,0,0,0,0,8.96,0,0
31,45,1,science,11,1,3.48,2.4,1,11,9.09,90.91,72.73,9.09,9.09,0,0,0,0,9.09,0,0,9.09,27.27,0,9.09,18.18,36.36,0,0,0,0,0,9.09,0,9.09,0,0,0,9.09,0,0,0,0,27.27,0,9.09,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,18.18,9.09,9.09,0,9.09,0,0,0,0,0,0,9.09,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0
32,45,1,social,11,57.84,81.84,2.4,25.77,11,27.27,72.73,54.55,18.18,18.18,9.09,0,0,9.09,0,0,9.09,9.09,9.09,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,18.18,0,0,9.09,0,18.18,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,9.09,0,0,0,0,9.09,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0
33,47,2,science,13,43.96,50,17.46,25.77,13,30.77,76.92,53.85,23.08,15.38,7.69,0,0,0,7.69,7.69,7.69,7.69,7.69,0,7.69,0,15.38,0,0,0,0,0,0,0,0,0,0,0,15.38,0,0,0,0,23.08,0,7.69,0,7.69,0,7.69,0,0,0,0,0,0,0,0,0,7.69,0,0,0,7.69,0,0,15.38,0,0,0,0,0,0,0,0,7.69,0,7.69,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0
34,48,2,science,99,10.67,34.29,97.04,80.64,24.75,16.16,84.85,59.6,13.13,9.09,5.05,0,0,0,4.04,4.04,8.08,6.06,9.09,11.11,18.18,1.01,19.19,6.06,2.02,2.02,0,2.02,5.05,4.04,1.01,0,0,0,5.05,0,0,0,0,12.12,3.03,5.05,0,0,1.01,3.03,5.05,1.01,0,4.04,1.01,0,1.01,0,0,1.01,0,0,0,1.01,0,11.11,13.13,1.01,21.21,3.03,3.03,15.15,0,0,0,0,0,2.02,4.04,0,0,4.04,0,0,12.12,4.04,0,0,0,0,0,0,4.04,4.04,0,0
35,48,2,social,98,6.8,13.08,71.95,81.07,49,11.22,92.86,63.27,16.33,11.22,10.2,0,0,0,1.02,5.1,4.08,9.18,17.35,6.12,13.27,2.04,26.53,3.06,0,1.02,1.02,2.04,3.06,3.06,0,0,0,0,6.12,1.02,0,1.02,0,18.37,2.04,2.04,7.14,3.06,1.02,5.1,4.08,1.02,0,3.06,1.02,0,1.02,0,0,0,0,0,0,0,0,1.02,14.29,4.08,14.29,5.1,5.1,4.08,2.04,2.04,0,2.04,0,0,3.06,0,0,3.06,0,0,4.08,2.04,0,0,0,0,0,0,0,2.04,0,0
36,49,2,science,27,26.77,1,79.42,1,27,14.81,77.78,59.26,7.41,3.7,3.7,0,0,0,0,3.7,14.81,0,14.81,0,11.11,11.11,25.93,0,0,0,0,0,3.7,0,3.7,0,3.7,0,3.7,0,0,0,0,29.63,3.7,3.7,0,3.7,3.7,18.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,14.81,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,49,2,social,41,9.85,99,1,99,13.67,21.95,85.37,51.22,26.83,19.51,2.44,2.44,0,14.63,0,7.32,0,7.32,7.32,4.88,7.32,0,21.95,0,0,0,0,0,7.32,7.32,0,0,0,0,29.27,0,0,0,14.63,24.39,12.2,2.44,7.32,0,2.44,0,7.32,7.32,0,0,7.32,0,0,0,0,14.63,9.76,2.44,0,2.44,0,2.44,24.39,0,4.88,2.44,0,2.44,4.88,0,0,0,0,0,0,0,0,0,0,0,9.76,7.32,2.44,0,0,0,0,0,0,0,0,0
38,52,1,science,22,96.54,67.52,2.4,1,22,9.09,81.82,50,9.09,4.55,0,0,0,0,4.55,4.55,9.09,18.18,9.09,4.55,0,0,22.73,0,0,4.55,0,0,9.09,0,9.09,0,0,0,4.55,0,0,0,0,13.64,0,9.09,4.55,0,0,0,0,0,0,0,4.55,0,4.55,0,0,9.09,0,0,9.09,0,0,0,22.73,0,13.64,0,13.64,0,0,0,4.55,0,0,0,0,0,0,0,0,0,4.55,4.55,0,0,0,0,0,0,0,0,0,0
39,52,1,social,26,16.45,6.21,99,25.77,26,3.85,84.62,50,19.23,11.54,11.54,0,0,0,0,7.69,3.85,3.85,11.54,7.69,3.85,0,15.38,7.69,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,26.92,7.69,15.38,0,0,0,3.85,3.85,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,19.23,15.38,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,3.85,0,0,0,0,0,0,0,0,0,0
40,54,1,science,35,81.17,50,43.37,1.91,11.67,14.29,82.86,62.86,14.29,11.43,2.86,2.86,5.71,0,0,2.86,8.57,20,5.71,2.86,5.71,8.57,14.29,0,0,2.86,2.86,0,8.57,2.86,5.71,0,0,0,8.57,0,0,0,0,20,2.86,5.71,5.71,2.86,0,5.71,0,0,0,0,2.86,2.86,0,0,0,8.57,2.86,0,5.71,0,0,2.86,8.57,2.86,14.29,2.86,11.43,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57,8.57,0,0,0,0,0,0,0,0,0,0
41,54,1,social,25,96.24,94.5,43.37,91.14,12.5,20,72,44,12,12,4,0,4,4,0,0,12,12,0,4,4,0,16,0,0,0,4,0,4,4,0,0,0,0,16,0,0,8,0,16,8,4,4,4,0,0,0,0,0,0,0,0,0,0,0,12,4,8,4,0,0,4,12,4,16,4,4,8,0,4,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0
42,55,2,science,68,80.67,67.04,21.06,1.76,13.6,10.29,83.82,57.35,11.76,5.88,1.47,2.94,1.47,0,0,5.88,19.12,5.88,7.35,1.47,13.24,0,16.18,1.47,0,0,0,0,2.94,0,2.94,0,2.94,0,4.41,0,0,0,0,10.29,2.94,2.94,4.41,2.94,0,2.94,0,0,0,0,1.47,1.47,0,0,0,5.88,2.94,0,1.47,1.47,0,4.41,7.35,1.47,13.24,0,10.29,1.47,0,1.47,0,0,0,4.41,0,0,0,0,0,0,7.35,7.35,0,0,0,0,0,0,0,0,0,0
43,58,1,social,16,11.86,50,35.37,25.77,16,18.75,81.25,68.75,31.25,18.75,6.25,6.25,0,6.25,0,12.5,12.5,6.25,6.25,6.25,6.25,6.25,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,6.25,0,18.75,0,12.5,0,0,0,6.25,0,0,0,0,0,0,0,0,0,6.25,6.25,0,0,0,0,6.25,12.5,0,12.5,6.25,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0
44,59,2,science,64,34.41,10.58,55.79,25.77,16,28.12,79.69,53.12,12.5,6.25,6.25,0,0,0,0,6.25,6.25,9.38,7.81,3.12,14.06,4.69,28.12,3.12,1.56,1.56,0,3.12,0,0,0,0,0,0,0,0,0,0,0,23.44,7.81,10.94,0,1.56,1.56,1.56,1.56,0,0,1.56,0,0,0,0,0,1.56,0,0,0,1.56,0,14.06,14.06,1.56,6.25,1.56,0,4.69,0,0,0,0,0,7.81,0,0,0,0,0,0,12.5,6.25,1.56,0,0,0,0,0,0,4.69,0,0
45,59,2,social,37,48.08,50,36.43,97.99,18.5,13.51,86.49,62.16,18.92,18.92,13.51,0,0,2.7,2.7,0,8.11,13.51,8.11,2.7,13.51,0,16.22,0,0,2.7,0,0,5.41,5.41,0,0,0,0,13.51,0,0,0,2.7,10.81,2.7,2.7,5.41,0,0,0,5.41,2.7,2.7,0,5.41,0,0,0,0,8.11,5.41,0,2.7,0,0,0,16.22,0,10.81,2.7,5.41,2.7,0,5.41,0,0,0,0,0,0,0,0,0,0,5.41,5.41,0,0,0,0,0,0,0,0,0,0
46,61,1,science,42,93.26,40.6,37.24,3.31,10.5,9.52,76.19,47.62,7.14,2.38,2.38,0,0,0,0,4.76,7.14,16.67,9.52,0,4.76,2.38,16.67,2.38,2.38,0,2.38,2.38,2.38,0,2.38,0,0,0,4.76,0,0,0,0,16.67,7.14,7.14,4.76,0,0,2.38,0,0,0,0,2.38,2.38,0,0,0,2.38,0,0,2.38,0,0,0,9.52,0,11.9,2.38,7.14,2.38,0,0,0,0,2.38,0,0,0,0,0,0,0,9.52,9.52,0,0,0,0,0,0,0,0,0,0
47,61,1,social,32,79.58,82.58,18.52,25.77,10.67,9.38,81.25,46.88,15.62,12.5,3.12,0,0,6.25,3.12,3.12,9.38,9.38,9.38,0,3.12,0,18.75,6.25,3.12,0,6.25,3.12,0,0,0,0,0,0,12.5,0,0,6.25,0,12.5,3.12,3.12,3.12,3.12,0,0,0,0,0,0,0,0,0,0,0,9.38,3.12,6.25,3.12,0,0,9.38,6.25,0,18.75,3.12,3.12,12.5,9.38,6.25,0,0,0,0,0,0,0,0,0,0,9.38,9.38,0,0,0,0,0,0,0,0,0,0
48,65,1,science,54,4.69,64.46,1,1,18,9.26,92.59,64.81,9.26,7.41,0,0,0,0,7.41,1.85,7.41,5.56,16.67,7.41,20.37,3.7,18.52,1.85,0,0,0,1.85,16.67,1.85,14.81,0,0,7.41,11.11,0,0,0,0,7.41,0,1.85,1.85,0,0,3.7,7.41,0,0,7.41,3.7,3.7,3.7,0,0,11.11,0,0,1.85,1.85,7.41,0,7.41,9.26,3.7,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0
49,65,1,social,26,54.88,64.99,1.4,25.77,13,11.54,84.62,57.69,23.08,19.23,11.54,3.85,0,3.85,0,3.85,11.54,7.69,7.69,0,7.69,0,19.23,3.85,3.85,0,0,0,0,0,0,0,0,0,11.54,0,0,3.85,0,19.23,3.85,3.85,11.54,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,3.85,0,0,0,0,15.38,0,7.69,7.69,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0
50,66,1,science,76,31.67,78.51,4.05,2.51,12.67,19.74,78.95,53.95,9.21,5.26,1.32,2.63,1.32,0,0,3.95,6.58,7.89,14.47,7.89,10.53,0,19.74,3.95,1.32,1.32,1.32,2.63,7.89,2.63,5.26,0,0,2.63,7.89,0,0,0,0,11.84,0,3.95,2.63,3.95,1.32,2.63,3.95,2.63,0,1.32,2.63,0,2.63,0,0,9.21,2.63,0,3.95,1.32,1.32,2.63,15.79,1.32,9.21,2.63,3.95,2.63,0,0,0,0,0,0,0,0,0,0,0,0,11.84,7.89,2.63,0,0,0,0,0,0,1.32,0,0
